birth,life,deltactcf,clife,cof,sep,face,peaktotal
0.05,50,10,17.0,1.7,100,1.0,7577154
0.05,50,10,17.0,1.7,74,1.0,10329357
0.05,50,1500,17.0,1.7,100,1.0,3890779
0.05,50,1500,17.0,1.7,74,1.0,5109354
0.05,50,200,17.0,1.7,100,1.0,6328281
0.05,50,200,17.0,1.7,74,1.0,8871893
0.05,50,20,17.0,1.7,100,1.0,7188957
0.05,50,20,17.0,1.7,74,1.0,10187994
0.05,50,3000,17.0,1.7,100,1.0,3454767
0.05,50,3000,17.0,1.7,74,1.0,4616195
0.05,50,400,17.0,1.7,100,1.0,5647995
0.05,50,400,17.0,1.7,74,1.0,7749694
0.05,50,40,17.0,1.7,100,1.0,7273370
0.05,50,40,17.0,1.7,74,1.0,10094932
0.05,50,4,17.0,1.7,100,1.0,7475270
0.05,50,4,17.0,1.7,74,1.0,10297863
0.05,50,5000,17.0,1.7,100,1.0,3402740
0.05,50,5000,17.0,1.7,74,1.0,4708310
0.05,50,8,17.0,1.7,100,1.0,7324797
0.05,50,8,17.0,1.7,74,1.0,10379053
0.075,50,1000,17.0,1.7,100,1.0,4716877
0.075,50,1000,17.0,1.7,74,1.0,6432689
0.075,50,100,17.0,1.7,100,1.0,8385834
0.075,50,100,17.0,1.7,74,1.0,11680009
0.075,50,10,17.0,1.7,100,1.0,9171298
0.075,50,10,17.0,1.7,74,1.0,12723370
0.075,50,1500,17.0,1.7,100,1.0,4011880
0.075,50,1500,17.0,1.7,74,1.0,5376159
0.075,50,200,17.0,1.7,100,1.0,7837272
0.075,50,200,17.0,1.7,74,1.0,10834903
0.075,50,20,17.0,1.7,100,1.0,9037892
0.075,50,20,17.0,1.7,74,1.0,12741256
0.075,50,3000,17.0,1.7,100,1.0,3362997
0.075,50,3000,17.0,1.7,74,1.0,4741221
0.075,50,400,17.0,1.7,100,1.0,6704394
0.075,50,400,17.0,1.7,74,1.0,9295244
0.075,50,40,17.0,1.7,100,1.0,8901348
0.075,50,40,17.0,1.7,74,1.0,12353456
0.075,50,4,17.0,1.7,100,1.0,9108420
0.075,50,4,17.0,1.7,74,1.0,12958651
0.075,50,5000,17.0,1.7,100,1.0,3354975
0.075,50,5000,17.0,1.7,74,1.0,4576885
0.075,50,8,17.0,1.7,100,1.0,8908744
0.075,50,8,17.0,1.7,74,1.0,12789334
0.1,50,1000,17.0,1.7,100,1.0,5518003
0.1,50,1000,17.0,1.7,74,1.0,6908230
0.1,50,100,17.0,1.7,100,1.0,10880824
0.1,50,100,17.0,1.7,74,1.0,13660371
0.1,50,10,17.0,1.7,100,1.0,11660793
0.1,50,10,17.0,1.7,74,1.0,15106285
0.1,50,1500,17.0,1.7,100,1.0,4635997
0.1,50,1500,17.0,1.7,74,1.0,5508537
0.1,50,200,17.0,1.7,100,1.0,9844195
0.1,50,200,17.0,1.7,74,1.0,12399802
0.1,50,20,17.0,1.7,100,1.0,11477431
0.1,50,20,17.0,1.7,74,1.0,14754944
0.1,50,3000,17.0,1.7,100,1.0,3626337
0.1,50,3000,17.0,1.7,74,1.0,4677183
0.1,50,400,17.0,1.7,100,1.0,8374708
0.1,50,400,17.0,1.7,74,1.0,10392658
0.1,50,40,17.0,1.7,100,1.0,11608599
0.1,50,40,17.0,1.7,74,1.0,14448890
0.1,50,4,17.0,1.7,100,1.0,11732826
0.1,50,4,17.0,1.7,74,1.0,14962505
0.1,50,5000,17.0,1.7,100,1.0,3551744
0.1,50,5000,17.0,1.7,74,1.0,4465912
0.1,50,8,17.0,1.7,100,1.0,11884034
0.1,50,8,17.0,1.7,74,1.0,15073429
0.0001,66,1000,17.0,1.7,100,1.0,3786206
0.0001,66,1000,17.0,1.7,74,1.0,4734825
0.0001,66,100,17.0,1.7,100,1.0,3894970
0.0001,66,100,17.0,1.7,74,1.0,4901590
0.0001,66,10,17.0,1.7,100,1.0,3788838
0.0001,66,10,17.0,1.7,74,1.0,4777313
0.0001,66,1500,17.0,1.7,100,1.0,3760928
0.0001,66,1500,17.0,1.7,74,1.0,4747344
0.0001,66,200,17.0,1.7,100,1.0,3794368
0.0001,66,200,17.0,1.7,74,1.0,4703056
0.0001,66,20,17.0,1.7,100,1.0,3838055
0.0001,66,20,17.0,1.7,74,1.0,4762283
0.0001,66,3000,17.0,1.7,100,1.0,3710726
0.0001,66,3000,17.0,1.7,74,1.0,4837707
0.0001,66,400,17.0,1.7,100,1.0,3712920
0.0001,66,400,17.0,1.7,74,1.0,4867504
0.0001,66,40,17.0,1.7,100,1.0,3797561
0.0001,66,40,17.0,1.7,74,1.0,4834136
0.0001,66,4,17.0,1.7,100,1.0,3757918
0.0001,66,4,17.0,1.7,74,1.0,4881414
0.0001,66,5000,17.0,1.7,100,1.0,3666973
0.0001,66,5000,17.0,1.7,74,1.0,4758153
0.0001,66,8,17.0,1.7,100,1.0,3597546
0.0001,66,8,17.0,1.7,74,1.0,4795344
0.00025,66,1000,17.0,1.7,100,1.0,3801856
0.00025,66,1000,17.0,1.7,74,1.0,4908569
0.00025,66,100,17.0,1.7,100,1.0,3903995
0.00025,66,100,17.0,1.7,74,1.0,4841565
0.00025,66,10,17.0,1.7,100,1.0,3764758
0.00025,66,10,17.0,1.7,74,1.0,4894612
0.00025,66,1500,17.0,1.7,100,1.0,3755491
0.00025,66,1500,17.0,1.7,74,1.0,4868562
0.00025,66,200,17.0,1.7,100,1.0,3794579
0.00025,66,200,17.0,1.7,74,1.0,4762101
0.00025,66,20,17.0,1.7,100,1.0,3724446
0.00025,66,20,17.0,1.7,74,1.0,4780585
0.00025,66,3000,17.0,1.7,100,1.0,3759841
0.00025,66,3000,17.0,1.7,74,1.0,4773907
0.00025,66,400,17.0,1.7,100,1.0,3765679
0.00025,66,400,17.0,1.7,74,1.0,4789909
0.00025,66,40,17.0,1.7,100,1.0,3697153
0.00025,66,40,17.0,1.7,74,1.0,4769813
0.00025,66,4,17.0,1.7,100,1.0,3805880
0.00025,66,4,17.0,1.7,74,1.0,4757972
0.00025,66,5000,17.0,1.7,100,1.0,3770836
0.00025,66,5000,17.0,1.7,74,1.0,4778629
0.00025,66,8,17.0,1.7,100,1.0,3739738
0.00025,66,8,17.0,1.7,74,1.0,4859295
0.0005,66,1000,17.0,1.7,100,1.0,3789153
0.0005,66,1000,17.0,1.7,74,1.0,4734054
0.0005,66,100,17.0,1.7,100,1.0,3824397
0.0005,66,100,17.0,1.7,74,1.0,4729428
0.0005,66,10,17.0,1.7,100,1.0,3782428
0.0005,66,10,17.0,1.7,74,1.0,4918395
0.0005,66,1500,17.0,1.7,100,1.0,3786301
0.0005,66,1500,17.0,1.7,74,1.0,4809625
0.0005,66,200,17.0,1.7,100,1.0,3817344
0.0005,66,200,17.0,1.7,74,1.0,4784829
0.0005,66,20,17.0,1.7,100,1.0,3777541
0.0005,66,20,17.0,1.7,74,1.0,4947181
0.0005,66,3000,17.0,1.7,100,1.0,3876096
0.0005,66,3000,17.0,1.7,74,1.0,4757114
0.0005,66,400,17.0,1.7,100,1.0,3778090
0.0005,66,400,17.0,1.7,74,1.0,4793265
0.0005,66,40,17.0,1.7,100,1.0,3762096
0.0005,66,40,17.0,1.7,74,1.0,4798553
0.0005,66,4,17.0,1.7,100,1.0,3783008
0.0005,66,4,17.0,1.7,74,1.0,4811178
0.0005,66,5000,17.0,1.7,100,1.0,3671277
0.0005,66,5000,17.0,1.7,74,1.0,4730068
0.0005,66,8,17.0,1.7,100,1.0,3774476
0.0005,66,8,17.0,1.7,74,1.0,5024233
0.00075,66,1000,17.0,1.7,100,1.0,3749426
0.00075,66,1000,17.0,1.7,74,1.0,4666416
0.00075,66,100,17.0,1.7,100,1.0,3824806
0.00075,66,100,17.0,1.7,74,1.0,4773540
0.00075,66,10,17.0,1.7,100,1.0,3780577
0.00075,66,10,17.0,1.7,74,1.0,4828813
0.00075,66,1500,17.0,1.7,100,1.0,3690550
0.00075,66,1500,17.0,1.7,74,1.0,4834824
0.00075,66,200,17.0,1.7,100,1.0,3811238
0.00075,66,200,17.0,1.7,74,1.0,4784848
0.00075,66,20,17.0,1.7,100,1.0,3885090
0.00075,66,20,17.0,1.7,74,1.0,4806178
0.00075,66,3000,17.0,1.7,100,1.0,3727095
0.00075,66,3000,17.0,1.7,74,1.0,4853775
0.00075,66,400,17.0,1.7,100,1.0,3774587
0.00075,66,400,17.0,1.7,74,1.0,4821514
0.00075,66,40,17.0,1.7,100,1.0,3784629
0.00075,66,40,17.0,1.7,74,1.0,4977690
0.00075,66,4,17.0,1.7,100,1.0,3757976
0.00075,66,4,17.0,1.7,74,1.0,4914637
0.00075,66,5000,17.0,1.7,100,1.0,3719812
0.00075,66,5000,17.0,1.7,74,1.0,4843175
0.00075,66,8,17.0,1.7,100,1.0,3897602
0.00075,66,8,17.0,1.7,74,1.0,4815160
0.001,66,1000,17.0,1.7,100,1.0,3799361
0.001,66,1000,17.0,1.7,74,1.0,4771873
0.001,66,100,17.0,1.7,100,1.0,3824474
0.001,66,100,17.0,1.7,74,1.0,4956392
0.001,66,10,17.0,1.7,100,1.0,3810941
0.001,66,10,17.0,1.7,74,1.0,4860216
0.001,66,1500,17.0,1.7,100,1.0,3772969
0.001,66,1500,17.0,1.7,74,1.0,4755616
0.001,66,200,17.0,1.7,100,1.0,3796265
0.001,66,200,17.0,1.7,74,1.0,4944093
0.001,66,20,17.0,1.7,100,1.0,3854504
0.001,66,20,17.0,1.7,74,1.0,4951547
0.001,66,3000,17.0,1.7,100,1.0,3791135
0.001,66,3000,17.0,1.7,74,1.0,4697010
0.001,66,400,17.0,1.7,100,1.0,3729690
0.001,66,400,17.0,1.7,74,1.0,4749594
0.001,66,40,17.0,1.7,100,1.0,3703002
0.001,66,40,17.0,1.7,74,1.0,4913524
0.001,66,4,17.0,1.7,100,1.0,3738219
0.001,66,4,17.0,1.7,74,1.0,4918340
0.001,66,5000,17.0,1.7,100,1.0,3815626
0.001,66,5000,17.0,1.7,74,1.0,4813975
0.001,66,8,17.0,1.7,100,1.0,3770959
0.001,66,8,17.0,1.7,74,1.0,4812123
0.0025,66,1000,17.0,1.7,100,1.0,3753568
0.0025,66,1000,17.0,1.7,74,1.0,4816527
0.0025,66,100,17.0,1.7,100,1.0,3926759
0.0025,66,100,17.0,1.7,74,1.0,5065974
0.0025,66,10,17.0,1.7,100,1.0,3880123
0.0025,66,10,17.0,1.7,74,1.0,4955234
0.0025,66,1500,17.0,1.7,100,1.0,3783218
